Date,close,high,low,open,volume,returns,log_returns,sma_5,sma_10,sma_20,sma_50,ema_12,ema_26,macd,macd_signal,macd_hist,rsi_14,bb_middle,bb_std,bb_upper,bb_lower,bb_width,volume_sma_5,volume_ratio,volatility_5,volatility_10,volatility_20,momentum_5,momentum_10,target_return,target_direction,avg_textblob_polarity,std_textblob_polarity,article_count,avg_custom_polarity,std_custom_polarity,total_positive_words,total_negative_words,avg_article_length,total_words,sentiment_intensity,sentiment_volatility,pos_neg_ratio,avg_textblob_polarity_lag_1,avg_textblob_polarity_lag_2,avg_textblob_polarity_lag_3,std_textblob_polarity_lag_1,std_textblob_polarity_lag_2,std_textblob_polarity_lag_3,avg_custom_polarity_lag_1,avg_custom_polarity_lag_2,avg_custom_polarity_lag_3,std_custom_polarity_lag_1,std_custom_polarity_lag_2,std_custom_polarity_lag_3,total_positive_words_lag_1,total_positive_words_lag_2,total_positive_words_lag_3,total_negative_words_lag_1,total_negative_words_lag_2,total_negative_words_lag_3,avg_article_length_lag_1,avg_article_length_lag_2,avg_article_length_lag_3,total_words_lag_1,total_words_lag_2,total_words_lag_3,sentiment_intensity_lag_1,sentiment_intensity_lag_2,sentiment_intensity_lag_3,sentiment_volatility_lag_1,sentiment_volatility_lag_2,sentiment_volatility_lag_3,pos_neg_ratio_lag_1,pos_neg_ratio_lag_2,pos_neg_ratio_lag_3
2020-12-28,275.4886474609375,275.7869984766045,264.21052380267946,267.2737055174495,23299700,0.03590133750575908,0.03527190523443943,269.0022399902344,271.3791961669922,275.43096618652345,274.42528259277344,271.96691552688907,273.3921799146517,-1.4252643877626383,-0.6702325140322453,-0.755031873730393,38.68066901676432,275.43096618652345,5.886280450027804,287.2035270865791,263.6584052864678,0.0854846574664606,15639460.0,1.489802077565338,0.021884613378215883,0.014896719120801706,0.015774597913401255,0.0021709307980977144,0.012611978378824551,-0.0007942651618240149,0,0.0667,0.0,1.0,1.0,0.0,2.0,0.0,268.0,40.0,0.0667,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-29,275.26983642578125,278.9794957891793,274.77256451733444,275.43892222912336,16383000,-0.0007942651618240149,-0.000794580757519835,269.79588012695314,271.63678283691405,275.42151794433596,274.6410986328125,272.4750572036417,273.5312655827556,-1.0562083791139116,-0.7474276870485786,-0.308780692065333,40.79014660393036,275.42151794433596,5.886385075183656,287.19428809470327,263.64874779396865,0.08548910948015792,15605320.0,1.0498342872815167,0.020618048982154663,0.014906617248591995,0.015760192168512908,0.014626526938321449,0.009445998024091296,-0.017739606977440037,0,0.0333,0.0471,2.0,0.5,0.7071,2.0,0.0,273.5,78.0,0.0333,0.0471,2.0,0.0667,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,268.0,0.0,0.0,40.0,0.0,0.0,0.0667,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
2020-12-30,270.3866577148437,276.56276712056376,270.2275270413716,276.4335019024981,11803800,-0.017739606977440037,-0.017898839767210628,270.7466613769531,271.2707885742187,274.6915222167969,274.84935668945315,272.1537649745959,273.2983316656637,-1.14456669106778,-0.8268554878524191,-0.31771120321536095,41.44753850611704,274.6915222167969,5.532405653251038,285.75633352329896,263.62671091029483,0.08056172405473293,14503500.0,0.8138587237563347,0.019730023515336256,0.01593606125375646,0.013972403332844502,0.01789653656706247,-0.013355183470214249,0.004744792060523695,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,285.0,38.0,0.0,0.0,0.0,0.0333,0.0667,0.0,0.0471,0.0,0.0,0.5,1.0,0.0,0.7071,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,273.5,268.0,0.0,78.0,40.0,0.0,0.0333,0.0667,0.0,0.0471,0.0,0.0,2.0,2.0,0.0
2020-12-31,271.6695861816406,275.5781360045021,268.33785840434194,270.5159117394472,12900400,0.004744792060523695,0.0047335710150275745,271.7511474609375,271.0211578369141,273.97744140625,274.9607452392578,272.07927592952586,273.1776838515766,-1.0984079220507397,-0.8811659746920835,-0.2172419473586562,44.478501096572884,273.97744140625,4.886588550578339,283.7506185074067,264.2042643050933,0.0713429328414318,14217780.0,0.9073427778457678,0.019735673333845533,0.01604401506264636,0.014005991979068476,0.018835492190323766,-0.009105098160391512,-0.015448768145921998,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0333,0.0667,0.0,0.0471,0.0,0.0,0.5,1.0,0.0,0.7071,0.0,0.0,2.0,2.0,0.0,0.0,0.0,285.0,273.5,268.0,38.0,78.0,40.0,0.0,0.0333,0.0667,0.0,0.0471,0.0,0.0,2.0,2.0
2021-01-04,267.4726257324219,273.4995590417658,263.75304144179614,273.2807581804896,15106100,-0.015448768145921998,-0.015569343806856156,272.057470703125,270.4701782226563,273.33546142578126,274.76601257324216,271.37056051458677,272.7550869523833,-1.3845264377965236,-0.9818380673129716,-0.402688370483552,43.68662928298643,273.33546142578126,4.853845893093895,283.04315321196907,263.62776963959345,0.07103133808946877,15898600.0,0.9501528436466103,0.021543720770841532,0.016688428747639403,0.01375944500312827,0.005759232897902367,-0.020183703055799973,0.0075480261777483015,1,0.1,0.0,1.0,0.0,0.0,0.0,0.0,281.0,40.0,0.1,0.0,0.0,0.0,0.0,0.0333,0.0,0.0,0.0471,0.0,0.0,0.5,0.0,0.0,0.7071,0.0,0.0,2.0,0.0,0.0,0.0,0.0,285.0,273.5,0.0,38.0,78.0,0.0,0.0,0.0333,0.0,0.0,0.0471,0.0,0.0,2.0
2021-01-05,269.49151611328125,270.9137063649368,266.746565702258,266.8261461973675,9871600,0.0075480261777483015,0.007519682365363865,270.85804443359376,269.9301422119141,272.9013412475586,274.6237921142578,271.0814767605398,272.5133409635187,-1.431864202978943,-1.0718432944461662,-0.3600209085327768,45.751917624331874,272.9013412475586,4.786123636706537,282.4735885209717,263.3290939741455,0.07015170559187373,13212980.0,0.747113822922611,0.01161233207499686,0.016722121896817203,0.01386542884097411,-0.021769068899678,-0.019645397243700513,-0.028268886559137174,0,0.1,0.0,1.0,0.0,0.0,0.0,0.0,281.0,40.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,281.0,0.0,285.0,40.0,0.0,38.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-06,261.873291015625,266.2890673333842,258.59130904886047,260.5704412375225,24354100,-0.028268886559137174,-0.028676145053947034,268.1787353515625,268.9873077392578,271.79391326904295,274.1965344238281,269.66483279978365,271.7251891131631,-2.0603563133794296,-1.269545898232819,-0.7908104151466107,36.153642689385826,271.79391326904295,4.63769928935997,281.0693118477629,262.518514690323,0.06825317364291691,14807200.0,1.644747150035118,0.015399231241163623,0.018455929747018054,0.014032335692912725,-0.048666957426584,-0.0347522590520688,0.02062226782133303,1,0.3174,0.164,2.0,0.1667,0.2357,2.0,1.0,287.5,82.0,0.3174,0.164,2.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,281.0,281.0,0.0,40.0,40.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-07,267.2737121582031,270.1280482329259,263.3353268981961,264.4492111857884,15789800,0.02062226782133303,0.02041250777277112,267.5561462402344,269.1514038085937,271.0649124145508,274.030048828125,269.29696808569435,271.3954500785468,-2.0984819928524416,-1.4353331171567436,-0.663148875695698,43.00139139812273,271.0649124145508,4.086307784644485,279.23752798383975,262.89229684526185,0.06030006242040085,15604400.0,1.0118812642587989,0.019488579781658293,0.01874507770542799,0.015029765640993566,-0.011512940701103536,0.006177554101707283,-0.004353607120326841,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3174,0.1,0.1,0.164,0.0,0.0,0.1667,0.0,0.0,0.2357,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,287.5,281.0,281.0,82.0,40.0,40.0,0.3174,0.1,0.1,0.164,0.0,0.0,2.0,0.0,0.0
2021-01-08,266.110107421875,267.4825828023573,261.74404531587913,266.846060164598,18528300,-0.004353607120326841,-0.00436311166386975,266.4442504882812,269.0976989746094,270.5502365112305,273.71736389160156,268.80668182972215,271.00394321408305,-2.1972613843608997,-1.587718770597575,-0.6095426137633246,43.01874836467984,270.5502365112305,4.026299884435675,278.6028362801018,262.49763674235913,0.059527575157282,16729980.0,1.10749086370695,0.019103593933263056,0.018775683452001937,0.014513292425623544,-0.020464119071645026,-0.002014078636277228,-0.040101625065253055,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3174,0.1,0.0,0.164,0.0,0.0,0.1667,0.0,0.0,0.2357,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,287.5,281.0,0.0,82.0,40.0,0.0,0.3174,0.1,0.0,0.164,0.0,0.0,2.0,0.0
2021-01-11,255.43865966796875,262.0324907885304,254.5037859444793,259.05881414634456,30412300,-0.040101625065253055,-0.04092785956673335,264.03745727539064,268.04746398925784,269.5417709350586,273.50194580078124,266.7500630356063,269.8509592449595,-3.100896209353209,-1.8903542583487023,-1.2105419510045068,33.22471626840124,269.5417709350586,5.0806637706473525,279.7030984763533,259.38044339376387,0.07539705260557125,19791220.0,1.5366561535872978,0.02505726513661984,0.022682139544208963,0.016856894423101797,-0.044991393162199134,-0.039491276175918966,-0.022387539912360643,0,0.0667,0.0,1.0,1.0,0.0,2.0,0.0,266.0,40.0,0.0667,0.0,2.0,0.0,0.0,0.3174,0.0,0.0,0.164,0.0,0.0,0.1667,0.0,0.0,0.2357,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,287.5,0.0,0.0,82.0,0.0,0.0,0.3174,0.0,0.0,0.164,0.0,0.0,2.0
2021-01-12,249.7200164794922,258.30293492700355,248.93433350004645,255.22979801325235,26383500,-0.022387539912360643,-0.022641945057201372,260.0831573486328,265.4706008911133,268.4248985290527,272.9103921508789,264.13005587312716,268.3597782960825,-4.229722422955319,-2.358227891270026,-1.8714945316852933,32.04828372782431,268.4248985290527,6.696719142959645,281.818336814972,255.0314602431334,0.09979281623511287,23093600.0,1.1424593826861122,0.023680003057072876,0.018442507212176322,0.01725984900144976,-0.07336594457199197,-0.09353790516939231,0.002190441431263457,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0667,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,266.0,0.0,0.0,40.0,0.0,0.0,0.0667,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
2021-01-13,250.2670135498047,252.56440741285832,247.8403241302128,250.17750824552505,19528900,0.002190441431263457,0.0021880459119569193,257.76190185546875,262.97031860351564,267.30355072021484,272.6822448730469,261.99728013107756,267.0195734973267,-5.02229336624913,-2.891040986265847,-2.131252379983283,36.02817427469956,267.30355072021484,7.7405640287365856,282.784678777688,251.82242266274167,0.1158318175404798,22128560.0,0.8825201459109856,0.023295079137477873,0.01862442937462686,0.017256937263443184,-0.04432020318226271,-0.09083023116743805,-0.02384361331851448,0,0.4333,0.0,1.0,1.0,0.0,2.0,0.0,291.0,42.0,0.4333,0.0,2.0,0.0,0.0667,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,266.0,0.0,0.0,40.0,0.0,0.0,0.0667,0.0,0.0,0.0,0.0,0.0,2.0,0.0
2021-01-14,244.29974365234372,253.63850952714716,243.2753647304675,252.0173982422888,29739400,-0.02384361331851448,-0.024132473149240902,253.16710815429687,260.36162719726565,265.8162078857422,272.369560546875,259.27458221127233,265.3366231352588,-6.062040923986444,-3.525240973809967,-2.5367999501764773,31.358876502429567,265.8162078857422,9.112954762164918,284.042117410072,247.59029836141235,0.13713166453840933,24918480.0,1.1934676593435876,0.016847148724193933,0.019026737635153848,0.017654839566010223,-0.085956708276124,-0.0964800344919825,0.023286198220310084,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,283.0,38.0,0.0,0.0,0.0,0.4333,0.0,0.0667,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,291.0,0.0,266.0,42.0,0.0,40.0,0.4333,0.0,0.0667,0.0,0.0,0.0,2.0,0.0,2.0
2021-01-15,249.98855590820312,252.47491566414263,245.8114745533319,246.5474273287472,24942900,0.023286198220310084,0.023019211499152138,249.9427978515625,258.1935241699219,264.60734100341796,272.09228149414065,257.8459627800309,264.1997292645987,-6.353766484567814,-4.090946075961537,-2.2628204086062764,37.71448474775131,264.60734100341796,9.540614233278038,283.688569469974,245.5261125368619,0.14422297124636158,26201400.0,0.9519682154388697,0.024920931520304525,0.021374265725405146,0.01876887871389443,-0.06058225923795424,-0.07980661574292447,0.03874921032151746,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4333,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,283.0,291.0,0.0,38.0,42.0,0.0,0.0,0.4333,0.0,0.0,0.0,0.0,0.0,2.0,0.0
2021-01-19,259.6754150390625,260.76941938528483,251.34113240748349,255.49831857205757,28028500,0.03874921032151746,0.038017306967272804,250.79014892578124,257.41380310058594,263.9419906616211,271.5695489501953,258.1274169737281,263.86459487697897,-5.737177903250881,-4.420192441419406,-1.3169854618314751,37.847762602568714,263.9419906616211,9.388602192866578,282.7191950473543,245.16478627588793,0.14228281251243513,25724640.0,1.0895584933355724,0.02762926156723195,0.02572547867504374,0.021108114074025658,0.01658619480935619,-0.029151434364575568,0.024435059919774682,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,301.0,40.0,0.0,0.0,0.0,0.0,0.0,0.4333,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,283.0,291.0,0.0,38.0,42.0,0.0,0.0,0.4333,0.0,0.0,0.0,0.0,0.0,2.0
2021-01-20,266.0205993652344,268.8451002511692,262.16176437917414,267.4626697340615,25199900,0.024435059919774682,0.02414129959140611,254.05026550292968,257.06671142578125,263.49842681884763,271.02851806640626,259.3417527262675,264.0242989133856,-4.682546187118135,-4.472663190559152,-0.20988299655898235,43.50378418465879,263.49842681884763,9.047409673828161,281.59324616650395,245.40360747119132,0.1373429023171839,25487920.0,0.9886997448202913,0.024361239829311356,0.026992767588815452,0.02185853031202271,0.06527543572816019,-0.012879502843376578,0.020150940184098465,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,301.0,0.0,283.0,40.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-21,271.38116455078125,272.10719245839164,266.0305139973574,267.7908759655612,20838700,0.020150940184098465,0.01995059692078038,258.273095703125,258.0174987792969,263.50240325927734,270.6199584960938,261.1939699300388,264.56925192432004,-3.375281994281238,-4.25318695130357,0.8779049570223316,50.6938405997672,263.50240325927734,9.051036528960875,281.6044763171991,245.4003302013556,0.1373958858364562,25749880.0,0.809273674285084,0.023690536549009378,0.02587068745690486,0.022186116898032893,0.0843664960135655,0.03630715258620598,0.0059734939699422895,1,0.1,0.0,1.0,0.0,0.0,0.0,0.0,281.0,40.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,301.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
